"text","language","style"
"。 第 11 条	缺陷责任与保修缺陷责任期缺陷责任期的期限： 。 缺陷调查11.3.4 修复通知承包人收到保修通知并到达工程现场的合理时间：","ch","law"
"。 承包人提交进度付款申请单的格式、内容、份数和时间： 。 进度付款申请单应包括的内容：","ch","law"
"2.一方违约后，相对方应采取适当措施防止损失进一步扩大；没有采取适当措施致使损失扩大的，不得就扩大的损失要求违约方承担赔偿责任。","ch","law"
"补充协议与本合同具有同等法律效力。 补充条款（可另附件）： 。 2.本合同一式贰份，甲、乙双方各执一份。","ch","law"
"分别运载假冒卷烟至福建省云霄县垃圾焚烧厂山上树林间藏匿， 伺机转运销售。 同日， 该二辆车辆被云霄县东厦镇政府、云霄县公安局东坑边防派出所联合查获，","ch","law"
"代宝建和宋廷杰及其辩护人对证据均无异议， 上述证据本院全部予以确认并在卷佐证。 本院认为，","ch","law"
"是指发包人和（或）承包人。 发包人： 是指与承包人订立合同协议书的当事人及取得该当事人资格的合法继受人。","ch","law"
"甲方对乙方装饰装修和增设的物品不承担维修义务。 因拆除造成该房屋毁损的，乙方应当承担恢复原状或者赔偿损失责任。","ch","law"
"办学地址： 审批机关： 登记注册机关： 办学许可证编号： 办学许可证有效期： 年 	月 	日线上机构 ICP 备案号：","ch","law"
"承包人更换合同约定由承包人提供的施工设备的，应报工程师批准。 除专用合同条件另有约定外，承包人应自行承担修建临时设施的费用，需要临时占地的， 应由发包人办理申请手续并承担相应费用。","ch","law"
"缺陷责任期： 是指发包人预留工程质量保证金以保证承包人履行第 11.3 款 [ 缺陷调查 ] 下质量缺陷责任的期限。","ch","law"
"可以从轻处罚。 鉴于被告人刘安平认罪态度较好， 有悔罪表现， 无前科， 且积极接受财产刑的处罚， 本院决定对其从轻处罚。","ch","law"
"（四）乙方应当合理使用并爱护该房屋及附属设施、物品。 乙方因保管不当或者使用不当造成该房屋及附属设施、物品毁坏的，乙方应当承担维修、更换或者赔偿损失责任。","ch","law"
"（二）甲方有权要求乙方出示身份证明。 （三）甲方应当保证该房屋的出租不违反法律法规的相关规定，房屋产权人或者共有人对该房屋的出租无异议，该房屋不存在查封冻结等限制情形。","ch","law"
"我和曲么色黑一起给基觉乡基觉村基觉组一个叫阿力初打的改装了一把射钉枪， 因为我们很熟，","ch","law"
"是指为完成合同约定的永久工程所修建的各类临时性工程，不包括施工设备。","ch","law"
"被告人李某某、刘某某、郑某某、任某某四人系郑煤集团宋楼煤矿中层领导干部。 因宋楼煤矿与新密市来集镇韩家门村之间存在房屋赔偿纠纷，","ch","law"
"瑞金市人民检察院以瑞检公诉刑诉［2018］171号起诉书指控被告人朱威、谢某1犯聚众斗殴罪， 于2018年7月9日向本院提起公诉，","ch","law"
"押金不计利息□	押金计利息□	计息标准为： 。 甲方不得将押金挪作它用，在合同到期或合同提前终止、解除时，扣除应结清的相关费用后应于返还乙方或乙方监护人。","ch","law"
"被查获时， 刘安平非法种植的罂粟已开花挂果。 经铲除后清点， 刘安平种植在自己家楼顶花园内的罂粟疑似物693株，","ch","law"
"（缓刑考验期从判决确定之日起计算。 罚金已缴纳。 ）四， 被告人徐晓川、宋家江、田芳芳违法所得分别为人民币二万元、三千元、八千元，","ch","law"
"第十二条 数据安全要求1.各方应当严格依据《中华人民共和国数据安全法》《中华人民共和国个人信息保护法》《中华人民共和国网络安全法》《网络数据安全管理条例》以及其他适用的法律法规处理标的数据。","ch","law"
"公诉机关以洪检刑诉（2018）1177号起诉书指控被告人赵艳新犯盗窃罪， 并建议适用认罪认罚速裁程序， 向本院提起公诉。","ch","law"
"8.如因乙方过错导致遗体接运、保存、告别、火化、骨灰交付、落葬等过程中出现责任事故，对甲方造成精神损害，甲方有权按照相关法律规定向乙方主张权利。","ch","law"
"处置事故后将被告人带往十方卫生院抽取血样。 抽取的血样送经福建南方司法鉴定中心检验鉴定，","ch","law"
"支付该卫生院2012年6月维修彩超机款2500元， 支付该卫生院2011年至2012年期间购买纯净水款2596元， 支付该卫生院2011年至2012年办公日杂用品款5102元，","ch","law"
"第十六条 其他规定1.本合同自双方签字并盖章之日起生效，有效期至 年 月 日止。","ch","law"
"会议除专用合同条件另有约定外，任何一方可向另一方发出通知，要求另一方出席会议， 讨论工程的实施安排或与本合同履行有关的其他事项。","ch","law"
"第三条 原始数据的使用限制1.原始数据的处理目的和使用限制如下： 2.各方对原始数据的使用除需遵守以上限制外，还应遵守以下要求：","ch","law"
